Equipo1,Cant.Goles1,Cant.Goles2,Equipo2
Argentina,1,2,Arabia Saudita
Polonia,0,0,Mexico
Argentina,2,0,Mexico
Arabia Saudita,0,2,Polonia
Argentina,2,0,Polonia
Arabia Saudita,1,2,Mexico
